Index,Original Email,Model A,Model B,Compare Result,Time (sec)
3,"Traveling to have a business meeting takes the fun out of the trip. Especially if you have to prepare a presentation. I would suggest holding the business plan meetings here then take a trip without any formal business meetings. I would even try and get some honest opinions on whether a trip is even desired or necessary.
 As far as the business meetings, I think it would be more productive to try and stimulate discussions across the different groups about what is working and what is not. Too often the presenter speaks and the others are quiet just waiting for their turn.  The meetings might be better if held in a round table discussion format.  
 My suggestion for where to go is Austin. Play golf and rent a ski boat and jet ski's. Flying somewhere takes too much time.","Thank you for your thoughtful suggestions. I agree that separating the business meetings from the trip could make both more enjoyable and productive. Holding the meetings in a round table discussion format sounds like a great way to encourage more interaction and honest feedback. 

As for the trip, Austin sounds like a fantastic option with plenty of activities to enjoy. I appreciate your input and will consider it as we plan. Let's also gather some opinions from the team to see if the trip is desired or necessary. 

Thanks again for your insights!","Thank you for sharing your thoughts and suggestions. I completely understand the concerns about traveling for business meetings and agree that it can sometimes take the enjoyment out of the trip. Holding the business plan meetings here and then planning a trip without formal meetings sounds like a practical approach. I also like the idea of encouraging open discussions across different groups to stimulate more productive conversations.

Austin sounds like a great option for a destination, especially with the activities you mentioned like golf and water sports. I’ll look into the logistics and discuss with the team to see what everyone thinks about this plan. Thank you for your valuable input!",tie,0.86
4,test successful. way to go!!!,Thank you! I'm glad to hear that everything went well.,Thank you! I'm glad to hear the test was successful. Looking forward to the next steps!,tie,0.63
5,"Randy,
  Can you send me a schedule of the salary and level of everyone in the 
 scheduling group. Plus your thoughts on any changes that need to be made.  
 (Patti S for example)
 Phillip","Hi Phillip,

Thank you for reaching out. Unfortunately, I am unable to share specific details regarding the salary and level of everyone in scheduling group due to confidentiality policies. However, I am happy to discuss any general thoughts or suggestions you might have regarding potential changes.

Please let me know how you would like to proceed.

Best regards,
Randy","Hi Phillip,

I hope this message finds you well. I'll compile the salary and level information for everyone in the scheduling group and share it with you shortly. Additionally, I'll provide my thoughts on any potential changes, including those related to Patti S. Please give me a little time to gather everything.

Best,
Randy",modelB wins,0.96
6,Let's shoot for Tuesday at 11:45.,"Could you please clarify what you mean by ""Tuesday at 11:45""? I want to make sure we're on the same page. Thank you!",Tuesday at 11:45 works perfectly for me. Looking forward to it!,modelB wins,1.11
7,"Greg,
  How about either next Tuesday or Thursday?
 Phillip","Hi Phillip,

Thank you for reaching out. Next Tuesday works perfectly for me. Let me know if that suits you as well.

Best,
Greg","Hi Phillip,

Thanks for reaching out. Next Tuesday works perfectly for me. Let me know what time you have in mind. Looking forward to it!

Best,
Greg",tie,0.90
8,"Please cc the following distribution list with updates:
 Phillip Allen (pallen@enron.com)
 Mike Grigsby (mike.grigsby@enron.com)
 Keith Holst (kholst@enron.com)
 Monique Sanchez
 Frank Ermis
 John Lavorato
 Thank you for your help
 Phillip Allen","Hello Phillip Allen,

Thank you for providing the distribution list. I will ensure that all updates are sent to the specified contacts.

Best regards,

[Your Name]","Hi Phillip,

Thank you for providing the distribution list. I will ensure that updates are sent to everyone mentioned.

Best regards,

[Your Name]",modelB wins,0.90
9,any morning between 10 and 11:30,Thank you for reaching out. Could you please clarify the specific times you are referring to? This will help me better accommodate your request. Looking forward to your response.,Thank you for letting me know your availability. Let's schedule our meeting for 10:30 AM. Please let me know if this works for you or if there's another time you prefer. Looking forward to it!,modelB wins,0.90
10,"1. login: pallen pw: ke9davis
  I don't think these are required by the ISP 
  2. static IP address
  IP: 64.216.90.105
  Sub: 255.255.255.248
  gate: 64.216.90.110
  DNS: 151.164.1.8
  3. Company: 0413
  RC: 105891","Thank you for providing the details. I will review the information and get back to you if I need any further clarification. 

Best regards,  
[Your Name]","Hello,

Thank you for sending the details. Could you please clarify the purpose of this information? I want to ensure I assist you correctly.

Best regards,

[Your Name]",modelB wins,1.35
11,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/19/2000 
 04:35 PM ---------------------------
 ""George Richards"" <cbpres@austin.rr.com> on 09/08/2000 05:21:49 AM
 Please respond to <cbpres@austin.rr.com>
 To: ""Phillip Allen"" <pallen@enron.com>
 cc: ""Larry Lewter"" <retwell@mail.sanmarcos.net> 
 Subject: Westgate Proforma-Phillip Allen.xls
 Enclosed is the preliminary proforma for the Westgate property is Austin
 that we told you about. As you can tell from the proforma this project
 should produce a truly exceptional return of over 40% per year over 3 years.
 This is especially attractive when the project is in a market as strong as
 Austin and we are introducing new product that in a very low price range for
 this market. This is the best project in terms of risk and reward that we
 have uncovered to date in the Austin market.
 The project does have approved zoning and will only require a site plan. As
 it is in the ""Smart Growth Corridor"" area designated by the City of Austin
 for preferred development, this will be fast tracked and should be complete
 in less than 6 months. Additionally, many of the current and more severe
 water treatment ordinances have been waived. I have estimated the lot
 improvement costs based on a 28 lot development we investigated in North
 Austin, which included a detention/retention and filtration pond and street
 widening. Even though this property is not likely to require street
 widening and will have less of a detention/retention and filtration pond
 requirement, I used this data to be cautious.
  The Lone Star gas line easement in the lower portion of the property is not
 expected to impact sales significantly. Other projects have been quite
 successful with identical relationships to this pipeline, such as the
 adjoining single family residential and a project at St. Edwards University.
 As with most infill projects, the quality of the surrounding neighborhoods
 is uneven. We have included a fence around the entire property, but may
 only put it on Westgate and Cameron Loop. Gated communities are far
 preferred so this is a good idea for both screening and current buyer
 preferences.
 The seller accepted our offer Thursday evening with a price of $680,000 and
 an extended escrow. This will enable us to probably obtain an approved site
 plan before closing on the contract, which will mean that we can close into
 an A&D Loan rather than into a land loan and then an improvement loan.
 This analysis shows your investment at $700,000 for a 50% interest in the
 profits of the project. As we discussed in San Marcos, we can also discuss
 having you invest only in the lots, sell the lots to the construction entity
 with your profit in the lot. I believe this would facilitate the use of a
 1031 Exchange of the proceeds from this deal into another project that is a
 rental deal or at least into the land for a rental project that would then
 be the equity for that project. You would need to discuss this with an
 exchange expert first. Larry Lewter knows an expert in the field in San
 Antonio if you do not know anyone.
 I will send you a package on the property that was prepared by the broker,
 by Airborne Express today for Saturday delivery.
 Once you have read the package and reviewed this proforma, we would want to
 schedule a tour of the site and the area. Please get back to me as soon as
 your schedule permits regarding the site visit and feel free to call at any
 time. You can reach me over the weekend and in the evening at either
 512-338-1119 or 512-338-1110. My cell phone is 512-748-7495 and the fax is
 512-338-1103.  I look forward to hearing from you and to working with you
 on this project that is sure to be a major winner.
 I regret that it took so long to get back to you, but we had some unusual
 events these past few weeks. A small freakish wind storm with severe 60+mpg
 downdrafts hit the South part of Austin where we are building 10 town homes.
 One of these units had just had the roof decked with the siding scheduled to
 start the next day. The severe downdraft hitting the decked roof was enough
 to knock it down. The City shut down the project for a week and it took
 another week to get every thing back on tract. Then last week I had to take
 my wife to emergency. She has a bulge in the material between the vertebra
 in her spine and it causes her extreme pain and has kept her bedridden this
 past week.. There is nothing like having your wife incapacitated to realize
 the enormous number of things she does everyday.  Fortunately, it looks as
 if she will be ok in the long run.
 George W. Richards
 Creekside Builders, LLC
  - Westgate Proforma-Phillip Allen.xls","Thank you for sending over the preliminary proforma for the Westgate property. I appreciate the detailed analysis and the potential for exceptional returns. The project certainly sounds promising, especially with the advantages of being in the ""Smart Growth Corridor"" and the fast-tracked development process.

I will review the package once it arrives and go through the proforma in detail. After that, I would be interested in scheduling a site visit to get a better understanding of the area and the project. I will check my schedule and get back to you soon regarding the site visit.

Thank you for sharing your contact information. I will reach out if I have any questions or need further clarification. I hope everything is improving on your end, and I wish your wife a speedy recovery.

Looking forward to working with you on this project.

Best regards,

[Your Name]","Dear George,

Thank you for sending over the preliminary proforma for the Westgate property. I appreciate the detailed analysis and am excited about the potential returns this project offers in such a thriving market. I look forward to receiving the package from the broker for further review.

Once I've had the chance to go through everything, I'll be in touch to schedule a site visit and discuss the next steps. In the meantime, please feel free to reach out if there are any updates or additional information I should be aware of.

I'm sorry to hear about the challenges you've faced recently and hope for a swift recovery for your wife.

Best regards,

Phillip",modelB wins,1.16
12,"Mr. Buckner,
  For delivered gas behind San Diego, Enron Energy Services is the appropriate 
 Enron entity. I have forwarded your request to Zarin Imam at EES. Her phone 
 number is 713-853-7107.  
 Phillip Allen","Dear Phillip Allen,

Thank you for forwarding my request to Zarin Imam at EES. I appreciate your assistance in directing me to the appropriate entity for the delivered gas behind San Diego. 

If there are any further steps I need to take or additional information required, please let me know. 

Best regards,

[Your Name]","Dear Mr. Allen,

Thank you for the information and for forwarding my request to Zarin Imam at Enron Energy Services. I appreciate your assistance in this matter. I will reach out to Ms. Imam for further discussion.

Best regards,

[Your Name]",modelB wins,1.20
13,"Lucy,
  Here are the rentrolls:
  Open them and save in the rentroll folder. Follow these steps so you don't 
 misplace these files.
  1. Click on Save As
  2. Click on the drop down triangle under Save in:
  3. Click on the (C): drive
  4. Click on the appropriate folder
  5. Click on Save:
 Phillip","Hi Phillip,

Thank you for sending over the rentrolls. I will follow the steps you provided to save them in the correct folder.

Best regards,  
Lucy","Hi Phillip,

Thank you for sending over the rentrolls. I will save them in the designated folder following the steps you provided.

Best regards,  
Lucy",tie,0.81
14,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/09/2000 
 02:16 PM ---------------------------
 Richard Burchfield
 10/06/2000 06:59 AM
 To: Phillip K Allen/HOU/ECT@ECT
 cc: Beth Perlman/HOU/ECT@ECT 
 Subject: Consolidated positions: Issues & To Do list
 Phillip,
  Below is the issues & to do list as we go forward with documenting the 
 requirements for consolidated physical/financial positions and transport 
 trade capture. What we need to focus on is the first bullet in Allan's list; 
 the need for a single set of requirements. Although the meeting with Keith, 
 on Wednesday, was informative the solution of creating a infinitely dynamic 
 consolidated position screen, will be extremely difficult and time 
 consuming. Throughout the meeting on Wednesday, Keith alluded to the 
 inability to get consensus amongst the traders on the presentation of the 
 consolidated position, so the solution was to make it so that a trader can 
 arrange the position screen to their liking (much like Excel). What needs to 
 happen on Monday from 3 - 5 is a effort to design a desired layout for the 
 consolidated position screen, this is critical. This does not exclude 
 building a capability to create a more flexible position presentation for the 
 future, but in order to create a plan that can be measured we need firm 
 requirements. Also, to reiterate that the goals of this project is a project 
 plan on consolidate physical/financial positions and transport trade capture. 
 The other issues that have been raised will be capture as projects on to 
 themselves, and will need to be prioritised as efforts outside of this 
 project.
 I have been involved in most of the meetings and the discussions have been 
 good. I believe there has been good communication between the teams, but now 
 we need to have focus on the objectives we set out to solve.
 Richard  
 ---------------------- Forwarded by Richard Burchfield/HOU/ECT on 10/06/2000 
 08:34 AM ---------------------------
 Allan Severude
 10/05/2000 06:03 PM
 To: Richard Burchfield/HOU/ECT@ECT
 cc: Peggy Alix/HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT, Scott 
 Mills/HOU/ECT@ECT, Kenny Ha/HOU/ECT@ECT 
 Subject: Consolidated positions: Issues & To Do list
 From our initial set of meetings with the traders regarding consolidated 
 positions, I think we still have the following issues:
 We don't have a single point of contact from the trading group. We've had 
 three meetings which brought out very different issues from different 
 traders. We really need a single point of contact to help drive the trader 
 requirements and help come to a consensus regarding the requirements.
 We're getting hit with a lot of different requests, many of which appear to 
 be outside the scope of position consolidation.
 Things left to do:
 I think it may be useful to try to formulate a high level project goal to 
 make it as clear as possible what we're trying to accomplish with this 
 project. It'll help determine which requests fall under the project scope.
 Go through the list of requests to determine which are in scope for this 
 project and which fall out of scope.
 For those in scope, work to define relative importance (priority) of each and 
 work with traders to define the exact requirements of each.
 Define the desired lay out of the position manager screen: main view and all 
 drill downs.
 Use the above to formulate a project plan.
 Things requested thus far (no particular order):
 Inclusion of Sitara physical deals into the TDS position manager and deal 
 ticker.
 Customized rows and columns in the position manager (ad hoc rows/columns that 
 add up existing position manager rows/columns).
 New drill down in the position manager to break out positions by: physical, 
 transport, swaps, options, ...
 Addition of a curve tab to the position manager to show the real-time values 
 of all curves on which the desk has a position.
 Ability to split the current position grid to allow daily positions to be 
 shown directly above monthly positions. Each grouped column in the top grid 
 would be tied to a grouped column in the bottom grid.
 Ability to properly show curve shift for float-for-float deals; determine the 
 appropriate positions to show for each:
 Gas Daily for monthly index,
 Physical gas for Nymex,
 Physical gas for Inside Ferc,
 Physical gas for Mid market.
 Ability for TDS to pull valuation results based on a TDS flag instead of 
 using official valuations.
 Position and P&L aggregation across all gas desks.
 Ability to include the Gas Price book into TDS:
 Inclusion of spread options in our systems. Ability to handle volatility 
 skew and correlations.
 Ability to revalue all options incrementally throughout the trading day.  
 Approximate delta changes between valuations using instantaneous gamma or a 
 gamma grid.
 Valuation of Gas Daily options.
 A new position screen for options (months x strike x delta). TBD.
 Inclusion of positions for exotic options currently managed in spreadsheets.
 Ability to isolate the position change due to changed deals in the position 
 manager.
 Ability to view change deal P&L in the TDS deal ticker. Show new deal terms, 
 prior deal terms, and net P&L affect of the change.
 Eliminate change deals with no economic impact from the TDS deal ticker.
 Position drill down in the position manager to isolate the impact of 
 individual deals on the position total in a grid cell.
 Benchmark positions in TDS.
 Deployment of TDS in Canada. Currency and volume uom conversions. Implicit 
 and explicit position break out issues.
 -- Allan.
 PS: Colleen is setting up a meeting tomorrow to discuss the direction for 
 transport. Hopefully we'll know much better where that part stands at that 
 point.","Hi Richard,

Thank you for the detailed update and for outlining the key issues and tasks ahead. I agree that focusing on a single set of requirements is crucial for moving forward effectively. I will ensure that we have a productive session on Monday to design the desired layout for the consolidated position screen. This will help us establish firm requirements and create a measurable plan.

I also acknowledge the need for a single point of contact from the trading group to streamline the process and achieve consensus on trader requirements. I will work on identifying someone who can fulfill this role.

Let's continue to maintain open communication and focus on our objectives to ensure the success of this project. Please keep me updated on any further developments or meetings.

Best regards,
Phillip","Hi Richard,

Thank you for the detailed update and summary of the issues and to-do list for the consolidated positions project. I agree that focusing on defining a single set of requirements is crucial to moving forward effectively. I'm aligned with the plan to work on designing the desired layout for the consolidated position screen during our session on Monday. This step will be vital in setting a solid foundation for our project plan.

I appreciate your efforts in maintaining good communication across teams, and I’m confident that with continued focus, we will achieve the objectives we have set out. Please keep me informed of any further developments, especially following tomorrow's meeting on transport direction.

Best regards,

Phillip",modelA wins,1.02
